,Scientific Name
0,Acacia saligna
1,Acridotheres tristis
2,Ailanthus altissima
3,Alopochen aegyptiaca
4,Alternanthera philoxeroides
5,Ameiurus melas
6,Andropogon virginicus
7,Arthurdendyus triangulatus
8,Asclepias syriaca
9,Axis axis
10,Baccharis halimifolia
11,Cabomba caroliniana
12,Callosciurus erythraeus
13,Callosciurus finlaysonii
14,Cardiospermum grandiflorum
15,Celastrus orbiculatus
16,Channa argus
17,Cortaderia jubata
18,Corvus splendens
19,Ehrharta calycina
20,Eichhornia crassipes
21,Elodea nuttallii
22,Eriocheir sinensis
23,Faxonius rusticus
24,Fundulus heteroclitus
25,Gambusia affinis
26,Gambusia holbrooki
27,Gunnera tinctoria
28,Gymnocoronis spilanthoides
29,Hakea sericea
30,Heracleum mantegazzianum
31,Heracleum persicum
32,Heracleum sosnowskyi
33,Herpestes javanicus
34,Humulus scandens
35,Hydrocotyle ranunculoides
36,Impatiens glandulifera
37,Koenigia polystachya
38,Lagarosiphon major
39,Lampropeltis getula
40,Lepomis gibbosus
41,Lespedeza cuneata
42,Limnoperna fortunei
43,Lithobates catesbeianus
44,Ludwigia grandiflora
45,Ludwigia peploides
46,Lygodium japonicum
47,Lysichiton americanus
48,Microstegium vimineum
49,Morone americana
50,Muntiacus reevesi
51,Myocastor coypus
52,Myriophyllum aquaticum
53,Myriophyllum heterophyllum
54,Nasua nasua
55,Nyctereutes procyonoides
56,Ondatra zibethicus
57,Orconectes limosus
58,Orconectes virilis
59,Oxyura jamaicensis
60,Pacifastacus leniusculus
61,Parthenium hysterophorus
62,Pennisetum setaceum
63,Perccottus glenii
64,Persicaria perfoliata
65,Pistia stratiotes
66,Plotosus lineatus
67,Procambarus clarkii
68,Procambarus virginalis
69,Procyon lotor
70,Prosopis juliflora
71,Pseudorasbora parva
72,Pueraria montana
73,Pycnonotus cafer
74,Rugulopteryx okamurae
75,Salvinia molesta
76,Sciurus carolinensis
77,Sciurus niger
78,Solenopsis geminata
79,Solenopsis invicta
80,Solenopsis richteri
81,Tamias sibiricus
82,Threskiornis aethiopicus
83,Trachemys scripta elegans
84,Triadica sebifera
85,Vespa velutina nigrithorax
86,Wasmannia auropunctata
87,Xenopus laevis
