Scientific Name,Q-number,Language,Wikipedia Title,Extracted Q-number
Acacia saligna,Q402385,de,Weidenblatt-Akazie,Q402385
Acacia saligna,Q402385,en,Acacia saligna,Q402385
Acacia saligna,Q402385,es,Acacia saligna,Q402385
Acacia saligna,Q402385,fi,Siniakaasia,Q402385
Acacia saligna,Q402385,fr,Acacia saligna,Q402385
Acacia saligna,Q402385,pt,Acacia saligna,Q402385
Acacia saligna,Q402385,sv,Tårakacia,Q402385
Acridotheres tristis,Q116667,bg,Обикновена майна,Q116667
Acridotheres tristis,Q116667,cs,Majna obecná,Q116667
Acridotheres tristis,Q116667,de,Hirtenmaina,Q116667
Acridotheres tristis,Q116667,en,Common myna,Q116667
Acridotheres tristis,Q116667,es,Acridotheres tristis,Q116667
Acridotheres tristis,Q116667,fi,Pihamaina,Q116667
Acridotheres tristis,Q116667,fr,Martin triste,Q116667
Acridotheres tristis,Q116667,ga,Míona coiteann,Q116667
Acridotheres tristis,Q116667,hu,Pásztormejnó,Q116667
Acridotheres tristis,Q116667,it,Acridotheres tristis,Q116667
Acridotheres tristis,Q116667,lv,Parastā maina,Q116667
Acridotheres tristis,Q116667,nl,Treurmaina,Q116667
Acridotheres tristis,Q116667,pl,Majna brunatna,Q116667
Acridotheres tristis,Q116667,pt,Mainato-de-mascarilha-amarela,Q116667
Acridotheres tristis,Q116667,sv,Brunmajna,Q116667
Ailanthus altissima,Q159570,bg,Айлант,Q159570
Ailanthus altissima,Q159570,cs,Pajasan žláznatý,Q159570
Ailanthus altissima,Q159570,da,Skyrækker,Q159570
Ailanthus altissima,Q159570,de,Götterbaum,Q159570
Ailanthus altissima,Q159570,el,Αείλανθος ο υψηλότατος,Q159570
Ailanthus altissima,Q159570,en,Ailanthus altissima,Q159570
Ailanthus altissima,Q159570,es,Ailanthus altissima,Q159570
Ailanthus altissima,Q159570,fi,Haisujumaltenpuu,Q159570
Ailanthus altissima,Q159570,fr,Ailanthus altissima,Q159570
Ailanthus altissima,Q159570,ga,Crann na nDéithe,Q159570
Ailanthus altissima,Q159570,hr,Žljezdasti pajasen,Q159570
Ailanthus altissima,Q159570,hu,Mirigyes bálványfa,Q159570
Ailanthus altissima,Q159570,it,Ailanthus altissima,Q159570
Ailanthus altissima,Q159570,lt,Aukštasis ailantas,Q159570
Ailanthus altissima,Q159570,lv,Augstais ailants,Q159570
Ailanthus altissima,Q159570,nl,Hemelboom,Q159570
Ailanthus altissima,Q159570,pl,Bożodrzew gruczołowaty,Q159570
Ailanthus altissima,Q159570,pt,Árvore-do-céu,Q159570
Ailanthus altissima,Q159570,ro,Cenușer,Q159570
Ailanthus altissima,Q159570,sk,Pajaseň žliazkatý,Q159570
Ailanthus altissima,Q159570,sl,Veliki pajesen,Q159570
Ailanthus altissima,Q159570,sv,Gudaträd,Q159570
Alopochen aegyptiaca,Q274179,bg,Египетска гъска,Q274179
Alopochen aegyptiaca,Q274179,cs,Husice nilská,Q274179
Alopochen aegyptiaca,Q274179,da,Nilgås,Q274179
Alopochen aegyptiaca,Q274179,de,Nilgans,Q274179
Alopochen aegyptiaca,Q274179,el,Αιγυπτιακή χήνα,Q274179
